NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	Methylations	Demethylations
55454	1	-1	-1	89.000748	6	6	0	42	1.000000	0.000000	71.373604	1	0	0	0
55454	1	-1	-1	89.000748	11	11	0	4	1.000000	0.000000	78.494728	1	0	0	0
58896	1	-1	-1	90.000748	0	0	0	58854	1.000000	0.000000	0.000000	0	0	0	0
58896	1	-1	-1	90.000748	6	6	0	37	1.000000	0.000000	71.373604	1	0	0	0
58896	1	-1	-1	90.000748	11	11	0	3	1.000000	0.000000	78.494728	1	0	0	0
62387	1	-1	-1	91.000748	0	0	0	62337	1.000000	0.000000	0.000000	0	0	0	0
62387	1	-1	-1	91.000748	6	6	0	42	1.000000	0.000000	71.373604	1	0	0	0
62387	1	-1	-1	91.000748	11	11	0	1	1.000000	0.000000	78.494728	1	0	0	0
65722	1	-1	-1	92.000755	0	0	0	65652	1.000000	0.000000	0.000000	0	0	0	0
65722	1	-1	-1	92.000755	6	6	0	61	1.000000	0.000000	71.373604	1	0	0	0
65722	1	-1	-1	92.000755	11	11	0	5	1.000000	0.000000	78.494728	1	0	0	0
69288	1	-1	-1	93.000755	0	0	0	69216	1.000000	0.000000	0.000000	0	0	0	0
69288	1	-1	-1	93.000755	6	6	0	59	1.000000	0.000000	71.373604	1	0	0	0
69288	1	-1	-1	93.000755	11	11	0	10	1.000000	0.000000	78.494728	1	0	0	0
72773	1	-1	-1	94.000755	0	0	0	72704	1.000000	0.000000	0.000000	0	0	0	0
72773	1	-1	-1	94.000755	6	6	0	56	1.000000	0.000000	71.373604	1	0	0	0
72773	1	-1	-1	94.000755	11	11	0	10	1.000000	0.000000	78.494728	1	0	0	0
75661	1	-1	-1	95.000771	0	0	0	75590	1.000000	0.000000	0.000000	0	0	0	0
75661	1	-1	-1	95.000771	6	6	0	62	1.000000	0.000000	71.373604	1	0	0	0
75661	1	-1	-1	95.000771	11	11	0	9	1.000000	0.000000	78.494728	1	0	0	0
79041	1	-1	-1	96.000771	0	0	0	78948	1.000000	0.000000	0.000000	0	0	0	0
79041	1	-1	-1	96.000771	6	6	0	79	1.000000	0.000000	71.373604	1	0	0	0
79041	1	-1	-1	96.000771	11	11	0	11	1.000000	0.000000	78.494728	1	0	0	0
82535	1	-1	-1	97.000771	0	0	0	82437	1.000000	0.000000	0.000000	0	0	0	0
82535	1	-1	-1	97.000771	6	6	0	86	1.000000	0.000000	71.373604	1	0	0	0
82535	1	-1	-1	97.000771	11	11	0	10	1.000000	0.000000	78.494728	1	0	0	0
85929	1	-1	-1	98.000778	0	0	0	85820	1.000000	0.000000	0.000000	0	0	0	0
85929	1	-1	-1	98.000778	6	6	0	101	1.000000	0.000000	71.373604	1	0	0	0
85929	1	-1	-1	98.000778	11	11	0	1	1.000000	0.000000	78.494728	1	0	0	0
88928	1	-1	-1	99.000801	0	0	0	88797	1.000000	0.000000	0.000000	0	0	0	0
88928	1	-1	-1	99.000801	6	6	0	124	1.000000	0.000000	71.373604	1	0	0	0
88928	1	-1	-1	99.000801	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
91967	1	-1	-1	100.000801	0	0	0	91849	1.000000	0.000000	0.000000	0	0	0	0
91967	1	-1	-1	100.000801	6	6	0	112	1.000000	0.000000	71.373604	1	0	0	0
91967	1	-1	-1	100.000801	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
94810	1	-1	-1	101.000816	0	0	0	94725	1.000000	0.000000	0.000000	0	0	0	0
94810	1	-1	-1	101.000816	6	6	0	77	1.000000	0.000000	71.373604	1	0	0	0
94810	1	-1	-1	101.000816	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
97608	1	-1	-1	102.000824	0	0	0	97527	1.000000	0.000000	0.000000	0	0	0	0
97608	1	-1	-1	102.000824	6	6	0	67	1.000000	0.000000	71.373604	1	0	0	0
97608	1	-1	-1	102.000824	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
100000	1	-1	-1	102.935829	0	0	0	99939	1.000000	0.000000	0.000000	0	0	0	0
100000	1	-1	-1	102.935829	6	6	0	49	1.000000	0.000000	71.373604	1	0	0	0
100000	1	-1	-1	102.935829	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
100000	1	100	-1	102.935829	0	0	0	100	1.000000	0.000000	0.000000	0	0	0	0
100000	1	100	-1	102.935829	6	6	0	0	1.000000	0.000000	71.373604	1	0	0	0
100000	1	100	-1	102.935829	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
100000	1	1000	-1	102.935829	0	0	0	997	1.000000	0.000000	0.000000	0	0	0	0
100000	1	1000	-1	102.935829	6	6	0	0	1.000000	0.000000	71.373604	1	0	0	0
100000	1	1000	-1	102.935829	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
100000	2	100	-1	102.935829	0	0	0	200	1.000000	0.000000	0.000000	0	0	0	0
100000	2	100	-1	102.935829	6	6	0	0	1.000000	0.000000	71.373604	1	0	0	0
100000	2	100	-1	102.935829	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
100000	2	1000	-1	102.935829	0	0	0	1999	1.000000	0.000000	0.000000	0	0	0	0
100000	2	1000	-1	102.935829	6	6	0	1	1.000000	0.000000	71.373604	1	0	0	0
100000	2	1000	-1	102.935829	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
100000	4	100	-1	102.935829	0	0	0	400	1.000000	0.000000	0.000000	0	0	0	0
100000	4	100	-1	102.935829	6	6	0	0	1.000000	0.000000	71.373604	1	0	0	0
100000	4	100	-1	102.935829	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
100000	4	1000	-1	102.935829	0	0	0	3995	1.000000	0.000000	0.000000	0	0	0	0
100000	4	1000	-1	102.935829	6	6	0	4	1.000000	0.000000	71.373604	1	0	0	0
100000	4	1000	-1	102.935829	11	11	0	0	1.000000	0.000000	78.494728	1	0	0	0
