Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity	AvgMethArray
90.000748	0	0	58896	72177	100.000000	0.000000	0.000000	0.12 0.85 0.95 0.51 0.96 0.96 0.66 0.06 0.50 0.07 0.93 0.91 0.44 0.44 0.50 0.09 0.49 0.51 0.06 0.09 0.05 0.09 0.50 0.96 0.51 0.06 0.96 0.48 0.53 0.05 0.04 0.48 0.51 0.44 0.48 0.48 0.50 0.94 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.04 0.49 0.40 0.07 0.54 0.14 0.05 0.05 0.93 0.02 0.07 0.39 0.95 0.94 0.50 0.94 0.46 0.94 0.51 0.96 0.05 0.20 0.06 0.08 0.91 0.60 0.49 0.49 0.47 0.11 0.05 0.95 0.50 0.50 0.93 0.19 0.04 0.05 0.04 0.93 0.45 0.50 0.95 0.06 0.49 0.56 0.49 0.11 0.04 0.50 0.50 0.05 0.45 
90.294739	0	0	60000	71073	100.000000	0.000000	0.000000	0.12 0.85 0.95 0.51 0.96 0.96 0.66 0.06 0.50 0.07 0.93 0.91 0.44 0.45 0.50 0.09 0.49 0.51 0.06 0.09 0.05 0.09 0.50 0.96 0.51 0.06 0.96 0.48 0.53 0.05 0.04 0.48 0.51 0.44 0.48 0.48 0.50 0.94 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.04 0.49 0.40 0.07 0.54 0.14 0.05 0.05 0.93 0.02 0.07 0.39 0.95 0.94 0.50 0.94 0.46 0.94 0.51 0.96 0.04 0.20 0.06 0.08 0.91 0.59 0.49 0.49 0.47 0.11 0.05 0.95 0.50 0.50 0.93 0.19 0.04 0.05 0.04 0.93 0.45 0.50 0.95 0.06 0.49 0.56 0.49 0.11 0.04 0.50 0.50 0.05 0.45 
91.781830	0	0	65000	66073	100.000000	0.000000	0.000000	0.12 0.85 0.95 0.51 0.96 0.95 0.66 0.06 0.50 0.07 0.92 0.91 0.44 0.45 0.50 0.09 0.49 0.51 0.06 0.09 0.05 0.09 0.50 0.96 0.51 0.06 0.96 0.48 0.53 0.05 0.04 0.48 0.51 0.44 0.48 0.48 0.50 0.93 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.04 0.49 0.40 0.07 0.54 0.14 0.05 0.05 0.92 0.03 0.07 0.39 0.94 0.94 0.50 0.94 0.46 0.94 0.51 0.96 0.05 0.20 0.06 0.08 0.91 0.59 0.49 0.49 0.47 0.11 0.06 0.95 0.50 0.50 0.93 0.19 0.04 0.05 0.04 0.93 0.46 0.50 0.94 0.06 0.48 0.56 0.50 0.11 0.04 0.50 0.50 0.05 0.45 
93.228210	0	0	70000	61073	100.000000	0.000000	0.000000	0.12 0.85 0.95 0.51 0.96 0.95 0.66 0.06 0.50 0.07 0.92 0.91 0.44 0.45 0.50 0.09 0.49 0.51 0.06 0.09 0.05 0.09 0.50 0.96 0.51 0.06 0.96 0.48 0.53 0.05 0.05 0.48 0.51 0.44 0.48 0.48 0.50 0.93 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.04 0.49 0.41 0.07 0.54 0.14 0.05 0.05 0.92 0.03 0.07 0.40 0.94 0.94 0.50 0.94 0.46 0.93 0.51 0.95 0.05 0.20 0.06 0.09 0.91 0.59 0.49 0.49 0.47 0.11 0.06 0.95 0.50 0.50 0.93 0.19 0.04 0.05 0.05 0.93 0.45 0.50 0.94 0.06 0.49 0.56 0.50 0.11 0.04 0.50 0.50 0.05 0.45 
94.770111	0	0	75000	56073	100.000000	0.000000	0.000000	0.12 0.85 0.95 0.51 0.96 0.95 0.65 0.06 0.50 0.07 0.92 0.91 0.44 0.45 0.50 0.09 0.49 0.51 0.07 0.09 0.05 0.10 0.50 0.95 0.51 0.06 0.95 0.48 0.53 0.06 0.05 0.48 0.51 0.44 0.48 0.48 0.50 0.93 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.04 0.49 0.41 0.07 0.54 0.14 0.05 0.05 0.92 0.03 0.07 0.40 0.94 0.93 0.49 0.93 0.47 0.93 0.51 0.95 0.05 0.20 0.06 0.09 0.91 0.59 0.49 0.49 0.47 0.11 0.06 0.95 0.50 0.50 0.93 0.19 0.04 0.05 0.05 0.93 0.46 0.50 0.94 0.06 0.49 0.56 0.49 0.11 0.05 0.50 0.50 0.06 0.46 
96.276482	0	0	80000	51073	100.000000	0.000000	0.000000	0.12 0.85 0.95 0.51 0.96 0.95 0.65 0.07 0.50 0.08 0.92 0.90 0.45 0.45 0.50 0.09 0.49 0.51 0.07 0.09 0.05 0.09 0.50 0.95 0.51 0.06 0.95 0.48 0.53 0.06 0.05 0.48 0.50 0.45 0.48 0.48 0.50 0.93 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.05 0.49 0.41 0.07 0.54 0.14 0.05 0.05 0.92 0.03 0.07 0.40 0.94 0.93 0.49 0.93 0.47 0.93 0.51 0.95 0.05 0.20 0.07 0.09 0.91 0.59 0.49 0.50 0.47 0.11 0.06 0.95 0.50 0.50 0.92 0.19 0.05 0.05 0.05 0.92 0.46 0.50 0.94 0.06 0.49 0.56 0.49 0.12 0.05 0.50 0.50 0.06 0.45 
97.644753	0	0	85000	46073	100.000000	0.000000	0.000000	0.12 0.85 0.95 0.52 0.96 0.95 0.65 0.07 0.50 0.08 0.91 0.90 0.45 0.45 0.50 0.09 0.49 0.51 0.07 0.09 0.05 0.10 0.50 0.95 0.51 0.06 0.95 0.48 0.53 0.06 0.05 0.48 0.51 0.45 0.48 0.48 0.50 0.93 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.05 0.49 0.41 0.07 0.54 0.14 0.05 0.05 0.92 0.03 0.07 0.40 0.94 0.93 0.49 0.93 0.47 0.93 0.51 0.95 0.05 0.20 0.07 0.09 0.91 0.59 0.49 0.50 0.47 0.11 0.06 0.95 0.50 0.50 0.92 0.19 0.05 0.05 0.05 0.92 0.46 0.50 0.94 0.06 0.49 0.56 0.49 0.12 0.05 0.50 0.50 0.06 0.45 
99.331024	0	0	90000	41073	100.000000	0.000000	0.000000	0.12 0.85 0.94 0.51 0.95 0.94 0.65 0.07 0.50 0.08 0.91 0.90 0.45 0.45 0.50 0.09 0.49 0.51 0.07 0.10 0.06 0.10 0.50 0.95 0.51 0.06 0.95 0.48 0.53 0.06 0.05 0.48 0.50 0.45 0.48 0.48 0.50 0.93 0.53 0.89 0.92 0.53 0.48 0.67 0.34 0.51 0.86 0.05 0.49 0.41 0.07 0.54 0.14 0.05 0.05 0.92 0.03 0.07 0.40 0.94 0.93 0.49 0.93 0.47 0.93 0.51 0.95 0.05 0.20 0.07 0.09 0.90 0.59 0.49 0.50 0.46 0.11 0.06 0.95 0.50 0.50 0.92 0.19 0.05 0.06 0.05 0.92 0.46 0.50 0.94 0.06 0.49 0.56 0.49 0.12 0.05 0.50 0.50 0.06 0.46 
100.000801	0	0	91967	39106	100.000000	0.000000	0.000000	0.12 0.85 0.94 0.51 0.95 0.94 0.65 0.07 0.50 0.08 0.91 0.90 0.45 0.45 0.50 0.09 0.49 0.50 0.07 0.10 0.06 0.10 0.50 0.95 0.51 0.07 0.95 0.48 0.53 0.06 0.05 0.48 0.50 0.45 0.48 0.48 0.50 0.93 0.53 0.89 0.91 0.53 0.48 0.67 0.34 0.51 0.86 0.05 0.49 0.41 0.08 0.54 0.15 0.06 0.05 0.92 0.03 0.08 0.40 0.94 0.93 0.49 0.93 0.47 0.93 0.51 0.95 0.05 0.20 0.07 0.09 0.90 0.59 0.49 0.50 0.46 0.11 0.06 0.94 0.50 0.50 0.92 0.19 0.05 0.06 0.05 0.92 0.46 0.50 0.94 0.07 0.49 0.56 0.49 0.12 0.05 0.50 0.50 0.06 0.46 
101.070946	0	0	95000	36073	100.000000	0.000000	0.000000	0.12 0.85 0.94 0.51 0.95 0.94 0.65 0.07 0.50 0.08 0.91 0.90 0.45 0.45 0.50 0.10 0.49 0.51 0.07 0.10 0.06 0.10 0.50 0.95 0.51 0.07 0.94 0.47 0.53 0.06 0.05 0.48 0.50 0.45 0.48 0.48 0.50 0.93 0.53 0.89 0.91 0.53 0.48 0.67 0.34 0.51 0.86 0.05 0.49 0.41 0.08 0.54 0.15 0.06 0.05 0.92 0.03 0.08 0.40 0.94 0.93 0.49 0.93 0.47 0.92 0.50 0.95 0.05 0.20 0.07 0.10 0.90 0.59 0.49 0.49 0.46 0.11 0.06 0.94 0.50 0.50 0.92 0.19 0.05 0.06 0.05 0.92 0.46 0.50 0.93 0.07 0.49 0.56 0.49 0.11 0.05 0.50 0.50 0.06 0.45 
102.935829	0	0	100000	31073	100.000000	0.000000	0.000000	0.12 0.85 0.94 0.51 0.95 0.94 0.65 0.07 0.50 0.08 0.91 0.90 0.45 0.45 0.50 0.10 0.49 0.50 0.07 0.10 0.06 0.10 0.50 0.94 0.51 0.07 0.94 0.47 0.53 0.06 0.05 0.48 0.50 0.45 0.48 0.48 0.50 0.93 0.53 0.89 0.91 0.53 0.48 0.67 0.34 0.51 0.85 0.05 0.49 0.41 0.08 0.54 0.15 0.06 0.05 0.92 0.03 0.08 0.40 0.94 0.92 0.49 0.93 0.46 0.92 0.50 0.95 0.05 0.20 0.07 0.10 0.90 0.59 0.49 0.49 0.46 0.12 0.07 0.94 0.50 0.50 0.92 0.19 0.05 0.06 0.05 0.92 0.46 0.50 0.93 0.07 0.49 0.56 0.49 0.12 0.05 0.50 0.50 0.06 0.45 
