Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	Methylations	Demethylations	BirthRate	MigrationRate	OriginTime	Descendants
0	2377	2500	0	0	0	1	35	28	1.000000	0.000013	16.190825	1038
0	2363	2418	0	0	0	1	39	35	1.000000	0.000013	15.829358	826
0	2421	2471	0	0	0	1	28	44	1.000000	0.000013	16.024839	174
0	2219	2333	0	0	0	1	36	30	1.000000	0.000013	15.419605	826
0	2336	2340	0	0	0	1	40	32	1.000000	0.000013	15.445053	167
0	3332	3574	0	0	0	1	32	45	1.000000	0.000013	20.593693	319
0	2385	2451	0	0	0	1	38	35	1.000000	0.000013	15.961525	1894
0	2958	3019	0	0	0	1	35	35	1.000000	0.000013	18.441988	68
0	2221	2354	0	0	0	1	30	21	1.000000	0.000013	15.510533	68
0	2253	2365	0	0	0	1	37	33	1.000000	0.000013	15.592999	3146
0	2365	2481	0	0	0	1	40	36	1.000000	0.000013	16.110479	3146
0	2500	2520	0	0	0	1	35	29	1.000000	0.000013	16.290285	1038
0	2227	2373	0	0	0	1	34	23	1.000000	0.000013	15.619345	66
0	2487	2729	0	0	0	1	25	36	1.000000	0.000013	17.173691	175
0	2101	2385	0	0	0	1	36	35	1.000000	0.000013	15.687552	2018
0	2605	2756	0	0	0	1	31	25	1.000000	0.000013	17.341940	68
0	2286	2395	0	0	0	1	38	31	1.000000	0.000013	15.720998	400
0	2256	2406	0	0	0	1	26	25	1.000000	0.000013	15.768562	673
0	2374	2403	0	0	0	1	29	36	1.000000	0.000013	15.759678	319
0	2771	2882	0	0	0	1	40	33	1.000000	0.000013	17.858931	66
0	2384	2409	0	0	0	1	40	38	1.000000	0.000013	15.780362	12
0	3336	3379	0	0	0	1	36	46	1.000000	0.000013	19.953075	90
0	2370	2421	0	0	0	1	27	39	1.000000	0.000013	15.835005	174
0	2828	2884	0	0	0	1	31	37	1.000000	0.000013	17.869280	175
0	2400	2440	0	0	0	1	42	36	1.000000	0.000013	15.929286	167
0	2188	2746	0	0	0	1	36	35	1.000000	0.000013	17.293970	961
